season,benzene(ug/mg3),NO,NO2,tolune,Nox,O3,pm2.5,pm10,temperature,wind direcction,relative humidity,wind speed,ambient temp
summer,15.89,62.5,49.66,47.2,129.79,30.82,83.04,206.07,21.92,213.87,38.62,1.52,29.71
summer,13.31,23.1,38.97,24.52,66.26,28.82,73,307.64,23.11,260.53,42.14,2.2,24.11
summer,8.65,83.5,81.35,14.58,186.6,73.97,47.18,260.13,24.01,285.02,29.4,3.84,23.6
summer,13.83,4.37,47.03,28.66,47.56,44.35,56.23,280.33,22.94,273.17,22.29,2.25,30.8
summer,16.72,104.96,65.74,32.56,201.87,24.72,113.87,226,22.95,99.97,25.54,3.07,36.09
summer,16.61,76.08,79.72,42.61,174.84,12.8,49.63,203.56,21.84,269.12,43.42,2.09,26.8
summer,15.91,129.33,80.04,35.38,247.89,28.11,57.7,237.21,21.86,278.57,26,2.02,29.63
summer,20.09,67.14,101.54,30.11,182.12,17.06,116.77,224.71,21.57,280.2,41.06,1.57,24.81
summer,14.44,150.93,100.3,29.67,295.47,29.45,65.7,331.83,24.03,267.31,19.64,1.72,35.67
summer,21.86,317.52,86.34,49.15,510.56,18.94,130.57,509.75,25.2,180.37,32.4,1.4,36.18
summer,34.7,53.4,87.08,67.47,150.49,19.37,189.79,225.64,25.47,231.5,38.43,0.72,29.6
summer,16.61,145.77,85.73,103.73,275.5,37.23,73.23,375.46,25.25,134.02,21.69,1.64,34.64
summer,24.27,61.15,77.18,63.76,152.26,17.65,144.64,227.01,24.25,224.94,33.14,1.85,29.82
summer,23.28,134.41,97.04,57.31,269.94,23.34,106.55,304.07,22.23,134.55,29.49,1.5,29.34
summer,47.71,98.71,78.3,63.7,204.57,24.15,281.63,168.45,21.41,194.77,25.53,1.28,30.68
summer,22.52,54.75,50.93,36.64,120.06,22.91,178.61,293.86,31.44,224.39,24.1,1.38,32.2
summer,16.19,75.24,64.47,24.54,160.23,18.94,69.18,299.37,23.37,261.92,30.4,2.88,29.95
summer,10.2,102.77,73.58,16.97,205.99,23.74,55.27,329.51,24.28,283.73,28.97,3.23,30.24
summer,9.62,184.44,96.27,17.79,326.84,24.74,65.27,305.67,24.58,285.33,25.09,3.01,32.23
summer,14.02,261.72,111.39,28.55,456.87,24.44,115.68,413.65,28.35,270.99,22.14,2.23,33.83
summer,25.1,199.48,97.8,50.68,359.58,22.21,215.19,403.58,26.52,260.64,22.82,1.73,34.84
summer,12.08,121.59,79.16,26.33,236.24,11.15,146.69,343.1,28.53,233.66,21.71,0.83,37.08
summer,15.38,77.05,86.48,33.39,182.23,15.62,121.75,379.57,29.08,244.61,26.96,1.78,35.24
summer,21.93,105.33,82.1,57.48,216.99,17.8,153.43,431.08,30.35,156.19,28.82,1.46,34.96
summer,21.5,72.91,66,33.7,158.37,30.86,131.76,406.31,31.67,273.57,22.93,2.65,34.62
summer,9.6,71.76,70,14.2,161.12,120.84,75.63,299.43,31.2,287.03,20.85,3.83,34.38
summer,2.11,278.04,141.08,6.88,468.73,62.55,39.65,397.03,30.21,276.61,6.52,3.29,38.29
summer,11.8,272.79,140.55,61.07,497.91,54.93,148.12,531.95,29.67,217.03,10.14,1.7,36.55
summer,17.71,427.21,171.77,52.07,701.93,60.52,212.23,822.6,27.75,199.87,15.13,1.04,34.73
summer,26.68,190.85,125.6,94.39,372.54,46.48,310.69,559.29,28.02,206.09,20.28,0.97,34.64
summer,18.75,231.62,134.58,43.05,436.21,44.39,263.6,632.51,29.68,226.21,16.96,1.69,34.46
summer,16.44,33.93,89.73,30.67,126.18,27.16,242.4,490.23,29.93,217.49,15.93,1.66,35.02
summer,12.48,36.31,69.89,35.81,111.84,13.71,164.2,423.18,31.11,136.85,26.52,2.64,37.69
summer,16.31,32.85,56.07,51.25,94.79,15.34,96.93,350.77,28.03,127.51,30.56,2.65,34.02
summer,9.09,52.65,79.97,45.12,143.15,16.62,60.63,301.99,29.88,135.28,41.18,3.65,29.94
summer,16.62,48,91.8,51.51,146.88,27.69,64.25,400.46,30.95,147.09,33.03,1.75,31.51
summer,19.4,9.12,60.64,44.24,66.48,22.84,106.59,356.1,31.9,157.02,30.64,1.82,34.07
summer,17.51,3.62,45.48,39.21,45.47,23.55,95.79,278.54,33.5,95.62,34.24,2.94,34.06
summer,11.27,9.73,56.74,22.85,63.85,20.32,77.15,330.05,34.98,95.78,39.76,3.95,32.88
summer,12.98,16.55,65.37,58.67,80.83,25.05,76.51,191.91,32.98,96.06,36.76,3.79,33.41
summer,10.51,44.19,95.99,50.13,145.82,23.57,64.32,488.98,32.5,115.61,45.93,2.67,31.72
summer,16.6,136.09,91.87,63.49,267.8,37.38,115.38,527.89,31.96,172.95,40.47,1.37,35.35
summer,23.08,137.21,96.43,72.9,273.28,40.11,130.16,477.06,32.25,191.1,35.52,1.53,36.32
summer,19.75,108.49,86.5,62.25,225.21,34.27,140.23,550.11,31.72,171.13,30.63,1.1,36.68
