season,benzene(ug/mg3),NO,NO2,tolune,Nox,O3,pm2.5,pm10,temperature,wind direcction,relative humidity,wind speed,ambient temp
post monsoon,8.74,184,96.52,23.34,337.17,34.75,106.97,594.45,29.81,256.77,41.91,0.83,29.14
post monsoon,11.07,190.53,106.34,23.39,354.9,38.29,121.46,600.69,29.83,260.25,36.72,0.9,29.11
post monsoon,4.19,169.76,132.53,12.06,349.88,78.64,165.19,625.41,28.73,251.22,37.49,0.71,28.89
post monsoon,28.49,150.66,108.53,81.73,302.45,77.07,174.5,614.07,29.37,262.56,37.78,0.66,28.85
post monsoon,30.81,204.15,104.53,70.92,372.02,51.1,180.43,623.72,28.78,189.42,38.27,0.65,28.36
post monsoon,28.17,233.6,105.42,86.05,412.95,27.87,208.07,617.94,29.03,226.7,37.65,0.62,27.96
post monsoon,33.66,280.99,111.08,196.03,461.38,21.46,171.2,606.96,26.78,233.79,41.19,0.68,28.34
post monsoon,26.43,419.26,108.84,104.81,655.63,27.28,172.93,679.8,27.47,206.68,40.17,0.63,28.32
post monsoon,23.99,502.3,110.69,56.87,769.71,36.99,201.74,658.44,27.15,226.89,39.24,0.75,28.35
post monsoon,30.28,259.79,100.85,58.11,444.48,39.8,168.16,637.73,26.6,242.74,39.94,0.87,28.66
post monsoon,33.07,176.19,113.54,76.1,341.73,28.54,229.26,685.31,26.77,247.99,39.76,0.89,27.87
post monsoon,35.18,210.63,108.25,117.09,372.42,22.41,209.37,652.43,26.98,269.73,39.78,0.83,27.94
post monsoon,29.52,310.21,107.47,95.69,516.35,23.99,150.11,529.39,27,260.16,38.66,0.71,27.19
post monsoon,16.33,286.97,127.78,35.75,500.33,27.73,257.75,650.38,27.48,244.22,42.68,0.89,27.27
post monsoon,27.55,313.96,139.77,72.87,553.24,38.81,348.87,789.48,27.03,200.9,45.36,0.55,26.44
post monsoon,20.77,425.57,157.54,44.73,677.68,42.17,396.47,655.72,26.8,233.42,44.07,0.62,25.83
post monsoon,13.71,339.49,153.16,22.62,600.06,39.77,402.94,712.26,26.4,239.9,43.06,0.6,24.87
post monsoon,17.2,194.84,106.66,34.47,361.11,77.19,350.21,"1,877.67",26.5,120.96,48.41,0.65,24.37
post monsoon,18.18,256.77,112.54,58.92,450.93,50.83,441.01,846.94,25.6,123.26,54.69,0.74,24.2
post monsoon,20.26,312.21,137.96,98.66,549.22,32.09,441.14,988.29,24.08,143.32,53.88,0.39,24.46
post monsoon,11.59,361.15,166.25,64.83,622.54,31.02,472.77,"1,209.04",25.33,199.84,50.8,0.38,24.24
post monsoon,11.35,454.7,155.16,40.53,728.52,37.69,426.82,"1,059.58",24.88,185.53,53.06,0.36,24.91
post monsoon,10.82,455.25,169.3,30.16,772.63,31.86,450.49,"1,182.77",23.78,217.66,52.47,0.4,24.12
post monsoon,14.2,353.08,163.46,32.28,627.72,50.22,783.31,"1,403.58",23.37,218.12,54.49,0.38,22.23
post monsoon,13.06,400.91,186.93,28.47,714.06,51.11,848.55,"1,650.65",22.6,247.52,60.54,0.47,21.67
post monsoon,9.67,291.58,150.57,19.04,532.32,49.65,552.81,"1,132.20",23.19,210.08,63.81,0.31,23.04
post monsoon,12.55,169.21,142.22,25.19,357.78,21.13,423.53,744.55,22.71,245.41,50.38,0.7,23.4
post monsoon,15.7,288.34,168.49,63.4,543.9,24.1,441.16,860.59,22.1,274.5,42.59,1.03,22.58
post monsoon,18.05,461.6,192.13,125.56,667.12,22.29,404.94,625.48,22.04,231,41,0.52,22.47
post monsoon,18.09,434.76,158.8,60.98,689.35,40.53,397.79,630.27,22.38,194.59,43.14,0.38,22.43
post monsoon,17.5,287.99,139.04,41.61,511.22,37.86,335.51,597.75,21.96,119.64,48.62,0.82,22.68
post monsoon,13.63,243.16,127.51,29.55,445.67,32.37,274.72,611.66,20.85,132.14,47.83,0.97,22.94
post monsoon,13.77,232.83,117.26,30.09,422.47,28.3,208.09,551.9,21.37,134.64,46.96,0.74,23.28
post monsoon,7.28,383.65,132.01,14.43,632.11,28.72,314.12,"1,013.55",22.79,132.84,42.39,0.43,21.92
post monsoon,8.71,320.45,131.68,17.85,554.84,14.88,351.38,967.93,20.02,207.81,44.61,0.43,21.13
post monsoon,8.57,152.92,110.77,16.62,307.64,28.78,237.56,655.65,25.18,230.12,41.55,0.65,21.73
post monsoon,12.72,240.06,129.58,29.65,443.32,16.26,277.12,890.57,21.43,276.89,37.98,0.85,21.13
post monsoon,21.01,309.73,149.81,78.18,544.86,18.5,291.52,"1,042.81",20.42,257.63,43.05,0.68,21.32
post monsoon,14.32,470.67,133.65,44.87,761.83,16.57,374.25,"1,399.45",20.79,221.74,44.01,0.42,20.88
post monsoon,21.06,417.55,165.79,75.32,643.03,15.18,341.57,"1,146.77",19.86,167.26,49.97,0.7,21.62
post monsoon,18.99,385.04,141.37,40.14,638.24,19.93,224.08,974.16,19.79,185.53,49.52,0.48,22.47
post monsoon,19.58,349.96,143.17,41.84,553.54,53.8,241.25,816.73,20.94,245.84,42.79,0.62,22.02
post monsoon,20.11,220.08,135.11,48.71,418.72,12.78,293.84,"1,017.05",21.8,251.82,45.94,0.57,21.84
post monsoon,16.54,69.02,76.36,32.43,157.1,14.68,137.23,665.07,21.58,255.82,43.39,0.67,23.34
post monsoon,29.75,93.76,81.48,85.4,200.56,11.26,123.47,572.67,20.64,283.83,30.59,1.69,24.27
post monsoon,25.79,102.65,90.02,64.94,219.04,13.07,157.13,675.85,20.83,281.35,31.13,1.53,23.38
post monsoon,24.46,179.25,108.75,50.54,339.72,13.89,197.59,627.29,21.9,278.67,33.42,1.12,22.27
post monsoon,21.43,166.37,138.18,58.83,330.62,16.55,376.14,999.84,23.08,259.57,32.94,0.98,20.91
post monsoon,13.17,13.83,84.22,21.66,76.86,17.28,316.51,595.05,22.24,171.84,49.3,0.38,19.56
winter,15.58,117.03,100.42,36.56,185.03,17.31,371.39,620.96,20.87,157.62,71.71,0.93,20.09
winter,18.84,264.77,122.11,46.38,469.25,15.89,345.31,773.09,19.79,149.65,72.8,0.76,19.84
winter,15.63,356.23,135.14,37.23,561.53,10.98,276.37,964.3,19.98,229.93,68.37,0.43,19.34
winter,16.3,515.23,135.89,33.28,809.32,10.47,347.16,"1,197.75",20.38,215.28,56.61,0.48,18.85
winter,15.11,20.01,9.87,29.04,41.77,10.09,314.29,996.86,17.59,254.33,51.27,0.51,18.97
winter,21.8,30.51,55.87,48.74,87.2,8.82,439.91,782.84,19.43,220.9,50.48,0.53,16.86
winter,17.07,82.08,79,36.71,182.49,9.1,332.91,580.57,21.04,103.17,66.69,1.16,17.16
winter,14.34,175.15,98.19,29.39,326.65,12.89,311.18,548.22,20.79,142.75,68.63,0.55,16.23
winter,14.25,57.73,44.86,27.23,110.28,13.41,409.37,695.88,21.25,135.1,68.58,0.76,18.05
winter,7.45,4.52,8.84,13.41,20.98,15.72,221.54,299.33,20.02,143.16,65.66,0.77,14.62
winter,8.62,0.2,0.24,16.07,0.25,10.83,276.73,689.53,19.97,105.14,76.52,1.84,18.06
winter,12.52,180.31,87.1,27.9,318.63,10.57,302.56,816.11,21.08,175.71,68.52,0.9,19.85
winter,19.64,6.41,0.34,52.92,0.32,10.22,236.28,653.98,20.85,210.24,56.73,0.43,19.59
winter,18.83,408.08,132.19,73.73,682.53,25.19,184.59,468.57,21.84,212.22,54.42,0.43,17.94
winter,9.15,240.85,128.2,18.45,434.06,29.99,197.17,618.09,21.89,253.34,57.61,0.52,17.51
winter,11.31,217.03,130.91,22.2,413.01,9.92,271.98,704.15,21.99,258.89,53.22,0.68,17.12
winter,14.89,105.32,105.86,30.48,238.14,10.6,273.82,693.95,20.07,214.94,52.3,0.37,16.57
winter,17.07,213.46,109.27,49.58,377.75,20.92,264.65,648.79,19.75,243.91,56.58,0.36,16.34
winter,14.24,277.42,125.86,47.25,490.97,19.76,277.45,657.21,18.81,228.95,53.23,0.33,16.87
winter,11.91,396.06,150.76,27.64,652.91,11.78,175.82,397.14,18.77,269.52,54.89,0.64,17.88
winter,11.72,363.11,116.27,30.54,465.35,13.27,162.3,512.37,17.97,281.1,51.47,1.23,18.29
winter,13.56,86.77,87.01,45.16,181.73,13.49,272.8,729.41,18.52,180.58,46.54,1.14,17.45
winter,18.23,149.23,94.29,39.79,287.81,16.16,534.76,998.57,20.2,126.63,49.96,0.44,16.92
winter,23.31,201.39,104.39,45.73,368.04,12.3,509.43,807.88,20.65,225.87,61.79,0.34,16.7
winter,20.86,446.13,154.21,55.52,693.3,17.44,272.83,399.61,19.55,120.39,65.19,1.28,14.96
winter,12.85,216.72,89.33,31.06,323.55,17.99,137.73,400.5,15.67,216.31,70.84,1.17,16.4
winter,8.1,35.57,76.96,22.21,115.09,26.95,241.51,576.83,20.74,282.19,63.13,0.7,16.6
winter,6.32,58.94,83.46,14.95,141.53,25.49,340.79,705.58,18.24,259.62,54.39,0.64,16.99
winter,7.14,235.94,78.58,21.33,303.82,20.74,367.43,568.59,18.98,214.63,53.48,0.41,14.1
winter,8.23,245.99,87.08,15.8,404.89,22.04,237.41,347.85,19.44,110.53,69.98,1.81,13.33
winter,6.67,330.48,117.06,14.18,555.63,39.44,231.19,338.38,16.44,100.76,73.14,1.94,14.48
winter,8.68,454.89,99.08,15.31,549.19,20.22,199.82,357.39,14.81,107.21,70.63,1.48,16.64
winter,13.91,206.61,115.87,23.55,378.75,19.36,256.89,521.74,15.05,130.48,66.85,1.07,17.76
winter,12.45,81.35,68.22,25.12,124.95,18.67,271.06,558.62,13.99,172.69,62.82,0.59,17.84
winter,10.26,22.47,38.94,24.06,56.41,21.35,270.88,460.71,17.07,236.36,63.5,0.41,18.09
winter,8.05,74.06,60.61,16.32,136.15,26.86,247.18,510.76,19.25,163.9,62.99,0.95,18.94
winter,8.71,105.3,73.09,15.33,202.21,20.75,190.62,322.4,17.12,181.55,62.52,0.39,17.84
winter,20.76,125.35,80.61,40.64,239.62,18.81,143.59,181.74,12.74,103.31,67.6,2.19,14.32
winter,20.53,125.27,89.01,40.76,250.42,22.89,146.55,315.07,13.65,97.07,78.33,2.8,14.9
winter,16.42,206.49,104.42,31.19,375.03,12.75,132.49,414.74,16.55,138.8,68.08,0.85,14.89
winter,14.85,188.13,102.14,37.97,347.94,11.92,105.81,436.99,10.92,248.23,60.79,0.45,13.31
winter,18.28,71.44,76.21,61.65,165.44,13.91,157.41,504.61,15.91,284.64,44.84,0.81,12.02
winter,13.89,86.6,61.57,57.45,158.28,16.81,273.18,675.81,14.63,258.75,43.74,0.7,12.06
winter,8.89,87.75,92.76,28.58,202.53,16.55,229.59,607.19,16.23,247.85,51.82,0.49,13.22
winter,6.15,145.31,109.16,14.32,295.63,16.44,239.08,530.45,14.28,260.45,49.16,0.55,19.25
winter,10.83,299.06,122.47,21.32,508.38,15.89,180.77,403.06,20.8,148.21,36.71,0.76,14.53
winter,8.21,200.69,86.84,17.58,246.73,18.88,136.7,315.36,17.24,221.88,55.44,1.1,11.23
winter,12.88,45.36,59.29,26.74,99.23,21.44,180.43,387.63,19.58,270.86,65.21,1.02,13
winter,10.98,94.11,57.28,34.53,174.93,13.45,144.5,329.65,16.33,234.37,61.19,0.64,14.33
winter,9.66,93.48,62.39,20.55,181.77,13.83,115.67,282.27,17.45,283.62,55.74,1.13,14.52
winter,18.05,112.05,70.81,42.78,212.67,13.72,157.4,520.68,15.06,286.44,53.25,1.21,21.4
winter,11.43,223.54,92.23,33.24,385.4,16.72,242.91,669.74,15.94,265.97,48.53,0.71,19.02
winter,6.98,205.56,82.35,29.7,353.22,15.64,239.33,494.65,16.81,213.38,55.52,0.45,19.7
winter,4.93,216.86,86.86,18.14,373.51,15.15,127.99,188.29,17.69,118.38,59.3,1.84,17.7
winter,8.23,311.41,106.56,19.83,520.2,15.3,61.78,87.75,19.83,126.84,74.09,1.79,15.63
winter,4.34,258.18,107.92,10.25,445.18,15.83,110.28,161.14,21.38,268.68,72.15,1.03,15.14
winter,6.93,169.62,75.65,14.59,198.62,15.23,123.47,194.59,23.74,281.82,71.9,0.95,16.19
winter,6.24,195.31,62.47,12.43,163.32,11.94,207.54,364.74,23.36,282.89,69.4,0.78,16.91
winter,5.89,129.45,67.89,13.08,237.27,11.42,217.85,413.25,18.22,218.08,67.47,0.35,17.87
winter,7.16,74.84,68.24,14.62,157.34,10.27,146.37,381.46,19.04,227.43,64.2,0.52,16.91
winter,4.62,103.76,88.75,10.91,214.36,9.48,226.91,690.02,17.97,251.56,64.12,0.67,17.54
winter,7.58,104.47,71.39,17.18,191,9.6,214.41,749.11,16.85,205.43,59.81,0.45,18.37
winter,10.62,104.66,75.94,25.53,199.5,10.07,216.91,450.6,18.69,159.96,58.12,0.38,18.07
winter,13.65,126.06,90.34,27.43,251.74,10.81,166.46,332.46,18.71,106.16,66.14,2.07,18.48
winter,7.65,29.89,106.32,17.69,127.48,21.25,191.71,518.74,18.13,110.22,64.97,2,18.1
winter,7.63,103.97,110.87,15.72,228.72,10.62,82.33,356.64,15.52,235.63,60.69,0.99,16.59
winter,9.38,133.72,125.14,22.03,289.84,17.53,139.4,560.32,22.47,288.11,49.68,1.24,18.06
winter,9.81,168.66,129.64,22.74,345.83,10.14,154.66,481.26,21.11,249.84,49.36,0.58,17.3
winter,10.11,107.03,120.02,41.52,252.67,9.43,106.86,385.31,21.54,224.17,52.91,0.87,17.4
winter,7.44,131.64,115.22,15.17,281.84,9.92,140.6,481.44,25.91,285.94,50.88,1.19,18.26
winter,5.91,144.26,114.86,18.38,299.35,30.82,112.85,322.05,26.49,254.31,46.43,0.58,21.3
winter,6.23,196.08,109.31,13.08,365.16,34.95,123.9,435.86,28.72,192.5,40.69,0.64,19.15
winter,5.64,199.49,112.69,14.37,371.92,16.74,139.17,503.54,23,242.42,46.62,0.55,19.45
winter,7.69,108.36,108.8,16.29,244.92,12.58,157.7,577.55,21.08,271.98,47.77,0.8,20.41
winter,11.53,155.01,120.55,37.39,319.15,13.64,130.18,394.95,22.43,263.69,49.16,0.59,21.74
winter,8.95,99.37,108.07,36.25,222.71,14.99,122.05,413.36,22.51,274.1,46.17,0.91,21.28
winter,6.1,104.99,130.47,15.87,259.64,13.37,116.93,427.67,23.05,268.9,51.86,0.87,23.26
winter,5.36,130.06,122.34,11.9,286.62,22.12,145.39,571.92,22.44,276.86,54.11,0.74,24.46
winter,7.13,349.2,143.32,14.97,541.91,15.88,153.12,594.68,24.37,230.99,50.18,0.57,25.6
winter,7.39,205.15,111.46,12.92,307.4,9.4,107.82,390.01,26.37,174.95,45.15,0.61,22.43
winter,8.77,70.65,99.13,15.96,163.15,36.55,92.35,382.47,26.93,250.13,56.34,1.03,22.22
winter,9.53,63.11,94.51,30.03,167.3,28.44,76.08,229.34,24.36,171.2,42.69,0.74,17.96
winter,5.05,81.93,98.36,9.68,199.21,14.54,69.43,301.83,22.87,201.22,42.51,0.7,24.23
winter,4.53,81.58,100.17,19.79,200.33,21.11,99.51,361.25,23.03,284.12,30.31,1.13,22.47
winter,4.35,96.35,108,8.76,227.8,15.6,166.73,674.4,24.24,234.18,38.1,0.61,24.43
summer,4.75,127,108.55,5.75,243.5,16.27,93.4,443.28,23.32,138.66,39.33,0.54,24.4
summer,6.57,39.16,64.43,11.11,103.52,12.61,126.77,347.25,26.58,136.13,41.83,1.27,23.83
summer,7.2,103.17,308.43,15.16,415.66,12.2,69.49,226.58,26.04,164.79,47.88,0.76,22.95
summer,8.84,101.91,146.61,20.59,269.79,16.64,74.16,232.15,24.36,180.11,37.89,0.76,21.89
summer,6.9,90.09,138.4,14.79,246.35,13.83,94.58,288.25,22.79,270.83,35.36,0.88,22.09
summer,7.31,87.16,134.29,16.79,238.69,13.67,113.81,326.19,22.38,277.3,33.38,1.02,22.44
summer,11.03,128.37,135.35,21.98,295.91,14.81,140.19,487.17,21.79,263.59,33.77,0.87,24.37
summer,7.73,171.92,123.79,16.67,345.08,19.23,78.93,287.72,21.5,151.43,32.51,0.81,22.45
summer,10.73,129.76,117.12,23.56,281.55,14.07,57.98,187.47,23.09,100.61,42.39,1.55,22.73
summer,19.68,158.12,129.15,39.69,331.01,12.16,77.22,250.04,24.9,76.5,46,3.25,20.29
summer,11.19,157.62,125.37,24.65,326.96,12.18,84.45,272.7,26.24,186.85,43.57,0.95,19
summer,8.03,109.52,125.15,16.02,261.06,11.8,145.56,865.83,24.33,206.43,45.33,0.98,18.61
summer,6.24,117.64,132.07,12.61,278.33,12.38,140.99,761.92,27.16,206.51,38.44,0.89,20.03
summer,5.51,122.08,125.48,10.25,278.52,13.68,157.07,643.88,27.47,195.58,39.63,0.62,22.04
summer,5.73,75.66,107.12,10.98,160.71,12.12,141.51,447.45,26.25,200.7,39.86,0.68,24.11
summer,8.7,88.53,111.45,17.64,206.27,12.66,116.25,439.11,27.12,197.39,38.51,0.5,22.84
summer,9,91.22,114.73,16.73,226.79,11.67,173.9,695.69,25.67,243.74,45.95,0.89,24.66
summer,6.44,170.59,125.54,14.3,344.82,11.22,131.29,631.79,35.87,214.21,37.32,0.59,24.69
summer,8.95,62.54,119.86,17.65,192.19,10.91,160.45,760.3,30.99,222.02,41.96,0.44,25.14
summer,9.23,68.16,121.06,19.19,200.95,26.94,150.54,654.66,29.59,264.9,42.3,0.6,26.91
summer,6.21,76.09,121.31,12.67,211.99,21.55,172.95,646.35,30.21,249.77,39.21,0.44,29.08
summer,5.88,106.5,128.98,12.6,260.35,12.01,121.47,391.01,32.18,239.48,36.14,0.67,30.43
summer,6.58,334.01,142.99,14.58,583.55,22.07,85.14,373.55,32.9,190.9,37.35,0.39,29.56
summer,3.51,274.92,160.33,21.7,479.21,14.87,89.94,353.75,34.2,221.71,39.38,0.75,28.79
summer,4.08,289.29,160.25,10.7,537.85,20.78,77.84,302.08,31.41,278.06,35.43,1,29.63
summer,7.94,212.76,159.57,16.51,396.44,30.77,119.18,394.09,34.29,301.26,33.94,1.28,31.3
summer,9.82,51.69,121.43,15.32,160.57,33.64,123.47,411.6,34.58,291.73,34.16,1.35,32.38
summer,3.08,271.56,108.25,6.89,467.28,26.61,71.43,297.02,33.83,274.36,34.44,0.83,33.02
summer,4.75,248.51,92.08,10.42,421.4,39.22,103.13,423.05,34.47,276.39,33.09,1.07,32.98
summer,6.1,24.1,58.05,12.07,63.55,55.92,112.28,417.84,33.5,270.38,31.94,0.93,33.43
summer,6.63,78.62,71.69,15.55,171.26,26.7,84.79,318.54,31.06,254.43,31.37,0.56,33.99
summer,14.4,70.96,75.37,49.35,163.95,48.8,78.92,297.48,33.4,248.31,30.02,0.91,33.48
summer,14.66,76.71,80.34,65.67,175.09,33.35,97.53,494.35,31.39,265.42,28.05,1.25,34.06
summer,12.03,145.77,105.29,58.1,291.48,27.8,49.28,289.76,30.17,249.03,23.12,0.94,31.38
summer,10.61,128.3,98.55,29.29,255.3,45.13,71.15,395.68,29.64,193.75,29.87,1.33,29.05
summer,7.7,108.3,91.2,31.79,229.15,52.05,139.38,717.62,30.07,114.41,39.3,4.07,31.6
summer,11.98,109.58,101.2,31.9,216.1,74.52,181.63,641.74,33.15,178.63,28.57,2.31,30.35
summer,14.66,30.06,67.79,49.66,83.34,56.45,47.01,293.03,33.93,193.02,23.22,0.74,29.56
summer,12.66,184.72,91.86,36.26,286.99,57.67,58.06,375.26,34.24,234.53,15.26,0.79,28.28
summer,4.45,160.59,138.24,12.02,326.52,74.05,71.6,375.1,35.93,277.43,16.43,1.94,29.02
summer,0.32,99.08,110.08,1.68,219.23,48.04,97.7,469.79,36.9,288.8,16.51,2.34,31.63
summer,0.31,80.98,93.35,1.49,193.8,59.43,237.37,624.94,36.32,287.92,15.74,2.18,33.15
summer,0.35,142.5,110.57,1.65,259.95,39.06,237.45,727.06,37.19,253.82,17.56,1.39,33.67
summer,0.7,196.7,132.83,6.96,362.04,55.4,211.55,755.75,38.21,200.14,20.14,0.71,33.91
summer,0.67,231.57,131.63,2.26,425.88,82.49,191.7,633.47,38.11,140.58,22.25,0.84,35.26
summer,0.95,124.94,102.78,7.18,215.4,55.78,115.47,492.54,38.61,234.24,22.11,0.85,34.35
summer,0.41,47.46,70.38,4.09,101.26,89.48,148.71,650.26,38.56,156.4,24.03,1.21,34.91
summer,0.7,53.51,51.19,2.62,64.38,54.7,193.02,758.19,36.35,123.12,32.66,1.57,36.29
summer,1.56,50.65,80.39,13.2,113.39,62.57,217.62,895.75,35.92,189.03,28.71,0.87,37.2
summer,1.04,93.03,89.81,13.96,181.33,71.89,96.74,516.93,34.64,245.68,17.2,0.84,37.52
summer,0.71,102.42,101.24,3.72,224.18,54.16,129.39,479.6,34.16,212.98,22.61,1.07,34.87
summer,0.91,101.21,94.79,5.39,220.19,63.72,126.6,405.06,34.09,117.21,40.72,2.74,38.45
summer,1.29,141.51,96.19,7.57,278.94,49.12,89.88,626.7,34.21,241.89,22.05,1,34
summer,1.44,46.45,69.12,7.98,113.34,62.95,111.83,354.73,33.41,263.36,26.35,1.57,33.9
summer,1,70.87,76.98,5.16,149.08,83.85,131.36,427.65,34.19,260.54,22.35,1.75,33.74
summer,0.45,31.82,101.17,7.27,120.4,99.73,160.54,511.75,33.63,243.49,22.31,1.07,33.22
summer,0.28,92.21,87.26,1.65,174.86,94.55,180.29,490.96,33.92,187.94,22.2,1.2,33.72
summer,0.57,116.51,89.72,8.74,233.58,98.69,87.08,309.95,35.18,213.39,24.46,1.21,33.29
summer,0.8,99.08,70,8.98,184.32,55.53,103.4,320.54,35.28,160.37,25.94,1.18,31.98
summer,1.06,131.41,77.76,11.5,248.72,47.2,234.72,701.28,34.71,125.34,29.57,2.57,32.96
summer,0.73,271.31,87.22,2.4,448.21,80.62,161.35,586.99,35.62,181.45,23.74,0.97,34.8
summer,0.88,45.4,104.33,5.62,145.45,68.75,127.97,459.48,36.94,166.55,22,0.68,33.75
summer,0.49,38.81,92.35,1.77,111.03,92.27,212.93,609.51,38.18,150.66,24.61,1.37,34.3
summer,0.41,22.88,65.99,1.85,65.52,51.29,269.73,566.35,38.11,232.58,26.07,1.21,35.77
summer,0.54,14.9,58.01,8.8,57.97,60.97,266.19,608.17,37.68,242.7,23.28,1.03,36.84
summer,0.51,30.57,72.05,3.29,89.74,61.64,180.81,552.6,35.38,191.12,22.83,0.54,38.07
summer,0.66,43.29,80.22,4.38,95.98,28.58,94.17,444.6,36.55,216.17,22.18,0.63,37.75
summer,0.85,66.63,85.83,4.74,124.05,35.75,72.14,294.22,36.75,181.33,25.22,0.87,36.42
summer,0.97,113.44,119.68,6.39,252.15,27.78,114.56,448.03,37.56,131.8,30.56,2.4,33.9
summer,1.32,192.75,155.18,8.75,400.63,78.63,200.55,795.43,38.57,132.99,38.23,3.34,36.4
summer,0.78,236.33,156.2,10.35,461.9,70.62,285.25,538.6,38.85,146.29,31.34,1.54,36.53
summer,0.67,201.44,140.91,3.92,400.64,63.37,134.75,473.35,36.88,175.29,31.06,1.06,38.05
summer,NA,170.03,103.25,NA,324.18,37.75,192.34,584.87,34.07,216.51,27.54,0.74,39.32
summer,NA,94.3,83.85,NA,204.17,63.53,104.03,467.16,36.37,243.18,21.48,0.86,39.35
summer,NA,30.13,96.56,NA,130.35,38.94,78.05,385.86,34.24,224.94,20.77,1.06,37.5
summer,NA,96.1,111.12,NA,230.24,72.46,216.86,331.43,34.51,262.28,25.86,1.6,33.28
summer,NA,75.52,113.17,NA,203.94,52.55,190.1,450.6,33.42,222.82,33.32,1.32,37.24
summer,NA,76.52,83.7,NA,179.75,54.08,350.73,533.85,30.68,137.78,30.24,1.7,35.42
summer,NA,13.37,36.59,NA,56.18,37.81,183.35,690.19,34.27,183.38,31.93,1.07,34.63
summer,NA,34.3,37.67,NA,80.52,22.24,99.75,549.17,36.92,203.36,29.67,1,32.93
summer,NA,121.99,74.75,NA,233.19,21.51,176.51,"1,011.07",37.63,174.62,39.31,1.33,27.43
summer,NA,144.18,103.3,NA,288.92,26.35,116.03,508.61,38.11,221.97,54.08,0.75,29.35
summer,NA,100.21,114.91,NA,239.2,23.14,103.11,408.6,36.79,246.44,52.44,0.43,38.91
summer,NA,62.21,102.84,NA,177.72,41.36,53.27,359.62,33.13,144.04,29.41,1.18,38.29
summer,NA,105.33,88.18,NA,222.41,49.56,36.61,141.21,31,138.59,28.74,2.28,34.38
summer,NA,154.39,83.98,NA,285.64,74.29,46.6,153.95,33.25,98.99,39.74,4.18,31.44
summer,NA,109.51,89.64,NA,230.06,62.95,59.99,244.9,30.76,97.69,50.07,4.55,28.66
summer,NA,42.34,82.81,NA,132.94,38.03,63.26,181.59,34.07,114.64,59.32,2.7,32.69
summer,2.53,73.37,82.54,24.12,175.05,46.66,111.34,468.46,36.25,109.47,47.63,1.83,29.23
monsoon,3.19,103.66,86.98,19.18,219.15,61.73,142.79,628.88,38.77,113.43,60.94,2.46,33.16
monsoon,1.67,69.88,79.14,7.95,165.93,56.4,142.36,688.69,40.83,218.32,49.07,0.83,36.31
monsoon,1.63,83.81,68.49,16.96,178.13,26.07,124.95,673.1,41.12,240.65,36.12,0.63,38.7
monsoon,1.8,10.31,64.04,9.74,77.7,17.71,75.27,464.6,39.54,241.5,28.56,0.89,40.28
monsoon,1.72,8.06,52.39,13.88,63.97,26.13,75.31,407.08,33.64,256.27,23.44,0.94,40.62
monsoon,3.73,2.33,49.55,17.52,56.71,30.4,43,287.73,33.21,264.67,26.46,0.98,38.64
monsoon,3.94,46.65,57.04,19.54,117.14,20.4,53.97,198.75,34.42,219.57,34.67,1.94,31.13
monsoon,1.36,15.51,57.82,8.19,77.59,20.25,67.17,326.99,38.01,96.56,49.63,3.7,30.76
monsoon,2.05,89.32,58.85,10.28,176.52,24.91,109.61,267.43,36.32,151.51,54.48,1.36,33
monsoon,1.9,63.48,47.5,7.4,131.07,32.22,61.03,NA,36.38,140.61,49.08,1.1,34.81
monsoon,1.91,11.81,35.7,6.77,54.47,29.74,83.47,140.47,40.78,156.76,41.95,0.79,32.88
monsoon,2.14,40.67,37.59,22.94,91.57,29.89,95.49,556.06,37.53,176.36,38.69,1.34,36.16
monsoon,1.97,54.95,37.03,15.71,108.71,16.99,85.29,547.9,41.78,219.48,33.08,0.76,37.79
monsoon,2.61,88.85,45.44,12.62,161.95,6.56,80.01,517.98,22.81,230.72,29.45,0.85,37.11
monsoon,3.78,18.42,53.3,16.26,79.33,8.67,57.4,249.42,29.43,232.14,29.29,0.8,36.29
monsoon,1.78,33.87,53.63,7.19,96.77,28.38,50.27,274.14,36.59,203.17,31.9,0.84,30.22
monsoon,2.59,116.23,67.79,13.44,219.43,20.7,80.33,617.34,31.52,151.3,54.33,1.93,30.4
monsoon,1.81,108.35,67.52,13.62,208.2,21.42,62.97,602.64,21.99,194.24,56.5,1.05,33.47
monsoon,1.62,64.11,50.08,24.93,134.78,25.65,35.13,213.35,34.49,246.64,51.69,0.71,32.6
monsoon,1.25,36.97,55.3,21.55,103.54,16.96,64.06,136.27,34.98,208.72,53.66,1.03,27.73
monsoon,1.32,29.97,44.15,10.9,82.25,17.57,79.09,404.12,36.7,150.75,67.83,1.14,28.38
monsoon,1.51,24.92,36.72,18.13,69.29,19.2,75,377.03,41.1,169.77,70.46,1.26,31.36
monsoon,3.23,14.73,35.59,27.04,56.55,34.53,98.29,527.07,44.79,242.44,58.42,0.76,33.3
monsoon,2.78,6.28,35.49,22.05,48.92,19.15,81.78,276.72,43.93,234.53,52.1,0.79,34.95
monsoon,2.94,6.75,29.58,13.36,44.21,20.71,58.57,183.33,46.31,142.57,51.15,0.68,35.94
monsoon,1.5,27.22,36.12,18.74,73.82,20.8,44.78,179.56,29.49,100.45,47.24,1.66,34.95
monsoon,1.03,16.53,32.25,22.59,56.58,24.52,39.32,84.83,24.02,99.04,54.39,2.22,35.17
